odrl_id,category,tptp_lang,smt_logic,verdict,expected_tptp_status,expected_smt_status,vampire,eprover,z3,cvc5,vampire_s,eprover_s,z3_s,cvc5_s,decided_by,tier_row
ODRL800,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.011,0.010,0.024,0.009,cvc5+eprover+vampire+z3,order
ODRL801,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.020,0.005,cvc5+eprover+vampire+z3,order
ODRL802,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL803,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL804,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.004,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
ODRL805,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL806,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.005,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL807,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.006,0.004,0.010,0.004,cvc5+eprover+vampire+z3,order
ODRL808,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.008,0.004,cvc5+eprover+vampire+z3,order
ODRL809,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.005,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
ODRL810,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.005,0.004,0.009,0.004,cvc5+eprover+vampire+z3,order
ODRL811,SingleOperand,fof,QF_LRA,Conflict,Theorem,unsat,theorem,theorem,unsat,unsat,0.004,0.004,0.008,0.003,cvc5+eprover+vampire+z3,order
ODRL812,SingleOperand,fof,QF_LRA,Compatible,Theorem,sat,theorem,theorem,sat,sat,0.004,0.004,0.009,0.003,cvc5+eprover+vampire+z3,order
